"id","name","region","federal_district","population","foundation_year","status","old_name","latitude","longitude"
"270","Дубовка","Волгоградская область","Южный","14779","1732","1803","","49.06052","44.830776"
"271","Дудинка","Красноярский край","Сибирский","19556","1667","1951","","69.406067","86.175072"
"272","Духовщина","Смоленская область","Центральный","3990","1675","1777","","55.1907803","32.4060434"
"273","Дюртюли","Башкортостан","Приволжский","31185","1795","1989","","55.490616","54.863895"
"274","Дятьково","Брянская область","Центральный","25255","1626","1938","","53.6003804","34.3335523"
"275","Евпатория","Крым","Южный","107877","497 год до н. э.","1784","Керкинитида, Гезлёв","45.1824481","33.3356874"
"276","Егорьевск","Московская область","Центральный","71686","1462","1778","","55.3829765","39.0356223"
"277","Ейск","Краснодарский край","Южный","82943","1848","1848","","46.7112094","38.2747987"
"278","Екатеринбург","Свердловская область","Уральский","1544376","1723","1781","Свердловск (с 1924 до 1991)","56.839104","60.60825"
"279","Елабуга","Татарстан","Приволжский","73630","XI век","1780","Трёхсвятское","55.7577131","52.0539938"
"280","Елец","Липецкая область","Центральный","99875","1146","1778","","52.6219865","38.5003298"
"281","Елизово","Камчатский край","Дальневосточный","36240","1848","1975","Старый Острог (до 1879); Завойко (до 1924)","53.1864972","158.3836712"
"282","Ельня","Смоленская область","Центральный","8332","1150","1776","","54.5764954","33.1891698"
"283","Еманжелинск","Челябинская область","Уральский","27632","1931","1951","Еманжелинские угольные копи (до 1951)","54.759121","61.313198"
"284","Емва","Коми","Северо-Западный","10994","1941","1985","Княж-Погост; Железнодорожный (до 1985)","62.5983295","50.8880873"
"285","Енисейск","Красноярский край","Сибирский","17537","1619","1676","Тунгусский острог, Енисейский острог","58.4532212","92.1748169"
